127.0.0.1 - - [29/Sep/2023:15:44:06 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [29/Sep/2023:15:44:14 +0900] "GET /portfolio/index.jsp HTTP/1.1" 200 414
0:0:0:0:0:0:0:1 - - [29/Sep/2023:15:44:14 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [29/Sep/2023:15:56:57 +0900] "GET /portfolio/fileview.do HTTP/1.1" 500 11212
0:0:0:0:0:0:0:1 - - [29/Sep/2023:15:57:37 +0900] "GET /portfolio/fileview.do HTTP/1.1" 500 7925
0:0:0:0:0:0:0:1 - - [29/Sep/2023:15:57:58 +0900] "GET /portfolio/fileview.do HTTP/1.1" 200 1115
0:0:0:0:0:0:0:1 - - [29/Sep/2023:15:58:00 +0900] "GET /portfolio/tests/20230926222648_0.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [29/Sep/2023:15:58:01 +0900] "GET /portfolio/tests/20230926222648_1.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [29/Sep/2023:16:01:13 +0900] "GET /portfolio/admin/index.html HTTP/1.1" 200 1602
0:0:0:0:0:0:0:1 - - [29/Sep/2023:16:01:13 +0900] "GET /portfolio/admin/css/admin_css.css?v=2023090212 HTTP/1.1" 200 13458
0:0:0:0:0:0:0:1 - - [29/Sep/2023:16:01:13 +0900] "GET /portfolio/admin/js/page_result.js?v=%3C?php%20echo%20$daterecall?%3E HTTP/1.1" 200 136
0:0:0:0:0:0:0:1 - - [29/Sep/2023:16:01:13 +0900] "GET /portfolio/admin/img/person_1x.png HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [29/Sep/2023:16:01:13 +0900] "GET /portfolio/admin/img/key_1x.png HTTP/1.1" 200 182
0:0:0:0:0:0:0:1 - - [29/Sep/2023:16:01:25 +0900] "GET /portfolio/admin/admin_ship.html HTTP/1.1" 200 6386
0:0:0:0:0:0:0:1 - - [29/Sep/2023:16:01:25 +0900] "GET /portfolio/admin/js/adm_btn.js?v=20230903 HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [29/Sep/2023:16:01:25 +0900] "GET /portfolio/admin/css/admin_css.css?v=202309037 HTTP/1.1" 200 13458
0:0:0:0:0:0:0:1 - - [29/Sep/2023:16:02:21 +0900] "GET /portfolio/admin/view/ HTTP/1.1" 200 1604
0:0:0:0:0:0:0:1 - - [29/Sep/2023:16:02:21 +0900] "GET /portfolio/admin/view/css/admin_css.css?v=2023090212 HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [29/Sep/2023:16:02:21 +0900] "GET /portfolio/admin/view/js/page_result.js?v=%3C?php%20echo%20$daterecall?%3E HTTP/1.1" 404 721
